ten_san_pham,thuong_hieu,danh_muc,gia_goc,gia_ban,phan_tram_giam_gia,so_luong_da_ban,so_luong_ton,rating,so_luot_danh_gia,ten_shop,shop_mall,dia_diem_shop,danh_gia_shop,tham_gia_tu
Inspiron 15,Dell,Laptop,38562245,30849796,20,83,86,4.4,65,Smart Dell 77,Có,Đà Nẵng,4.8,2019
MacBook Air M2,Apple,Laptop,18133854,13419051,26,501,122,4.0,83,Smart Apple 69,Có,Hà Nội,4.5,2021
Alienware M16,Dell,Gaming,28308098,18966425,33,1590,43,4.5,738,Smart Dell 18,Không,TP.HCM,4.5,2023
XPS 13,Dell,Laptop,48422267,30990250,36,1564,1160,3.8,717,Digital Dell 94,Không,Đà Nẵng,4.9,2025
EliteBook 840,HP,Laptop,22760464,20712022,9,4361,317,4.2,2162,Center HP 47,Không,TP.HCM,4.8,2024
Zenbook OLED,Asus,Laptop,24450995,22983935,6,2992,1270,3.9,2958,Tech Asus 85,Không,Hà Nội,4.5,2023
EliteBook 840,HP,Laptop,22343590,17204564,23,2652,839,4.5,457,Tech HP 67,Có,TP.HCM,4.8,2018
iPhone 15,Apple,Điện thoại,18561294,16519551,11,3986,392,3.6,2343,Smart Apple 50,Không,Hải Phòng,4.6,2025
Redmi Note 13,Xiaomi,Điện thoại,29585602,23964337,19,4973,1470,3.6,1714,Smart Xiaomi 63,Có,Cần Thơ,4.8,2016
Redmi Buds 5,Xiaomi,Tai nghe,7278536,5240545,28,487,1263,3.9,25,Smart Xiaomi 10,Không,TP.HCM,4.9,2024
Galaxy S24,Samsung,Điện thoại,20503355,12507046,39,3166,388,3.8,2695,Mobile Samsung 73,Có,Hải Phòng,4.7,2022
WH-1000XM5,Sony,Tai nghe,11014337,8040466,27,3767,1438,4.5,3621,Tech Sony 22,Có,Hải Phòng,4.4,2021
WH-1000XM5,Sony,Tai nghe,9257363,6202433,33,2896,645,4.3,1334,Mega Sony 48,Không,Cần Thơ,4.8,2021
Inspiron 15,Dell,Laptop,49792001,30373120,39,1762,768,4.6,1529,Digital Dell 47,Không,Cần Thơ,5.0,2016
WH-1000XM5,Sony,Tai nghe,5072818,4768448,6,4250,276,5.0,2477,Tech Sony 39,Có,Hà Nội,4.9,2016
EliteBook 840,HP,Laptop,30519169,18311501,40,4198,1139,4.4,1272,Tech HP 5,Không,Đà Nẵng,4.2,2020
Redmi Buds 5,Xiaomi,Tai nghe,4491903,3638441,19,2109,615,3.6,1642,Center Xiaomi 28,Có,Đà Nẵng,4.8,2018
Zenbook OLED,Asus,Laptop,59167323,52658917,11,4886,1315,4.0,4725,Store Asus 11,Có,Đà Nẵng,4.3,2022
ROG Strix G16,Asus,Laptop,27214765,25854026,5,3143,110,4.0,173,Digital Asus 70,Có,Đà Nẵng,4.5,2019
iPhone 15,Apple,Điện thoại,31365911,21015160,33,4885,1178,4.3,1824,Store Apple 38,Không,Hà Nội,4.1,2017
Zenbook OLED,Asus,Laptop,15309211,9185526,40,3280,537,3.6,2060,Store Asus 90,Có,Hà Nội,4.5,2019
Vivobook 15,Asus,Laptop,55771651,46290470,17,4607,1261,5.0,4299,Mobile Asus 32,Có,Đà Nẵng,4.8,2021
Xperia 1 V,Sony,Điện thoại,11012595,9691083,12,3398,867,4.0,785,Digital Sony 45,Có,Đà Nẵng,4.2,2021
XPS 13,Dell,Laptop,53821046,46286099,14,3618,91,4.9,961,Mobile Dell 88,Không,Hà Nội,4.8,2017
Galaxy Z Fold5,Samsung,Điện thoại,8659984,6927987,20,1219,589,3.5,232,Digital Samsung 58,Không,TP.HCM,4.3,2024
iPhone 15,Apple,Điện thoại,22358244,13414946,40,3966,1275,4.6,583,Smart Apple 90,Có,Cần Thơ,4.6,2024
Galaxy A55,Samsung,Điện thoại,16429958,15115561,8,2336,411,4.7,1116,Tech Samsung 60,Có,TP.HCM,4.4,2020
Xperia 1 V,Sony,Điện thoại,29173897,25964768,11,166,599,4.8,103,Mobile Sony 49,Có,Đà Nẵng,4.5,2025
Inspiron 15,Dell,Laptop,24510259,20343514,17,4111,937,4.3,181,Tech Dell 32,Không,Đà Nẵng,4.5,2018
Galaxy A55,Samsung,Điện thoại,28616487,20890035,27,2486,483,5.0,2058,Digital Samsung 8,Không,Cần Thơ,4.9,2016
XPS 13,Dell,Laptop,27138598,23339194,14,2809,804,4.5,364,Smart Dell 49,Có,Cần Thơ,4.2,2018
Vivobook 15,Asus,Laptop,52625618,38942957,26,3689,1110,3.7,2677,Mobile Asus 75,Có,Hà Nội,4.3,2024
MacBook Air M2,Apple,Laptop,21741012,18479860,15,2610,138,4.3,489,Mobile Apple 41,Có,TP.HCM,4.8,2022
Vivobook 15,Asus,Laptop,41729527,32549031,22,1254,384,3.7,383,Tech Asus 98,Không,Hải Phòng,4.6,2019
Inspiron 15,Dell,Laptop,27496267,25846490,6,2953,162,4.5,1957,Mobile Dell 65,Không,Đà Nẵng,4.2,2022
Vivobook 15,Asus,Laptop,21228322,18044073,15,1593,463,3.5,1570,Tech Asus 35,Không,Hà Nội,4.7,2019
Pavilion 14,HP,Laptop,16438333,13808199,16,3608,1263,4.2,1335,Mega HP 59,Có,Cần Thơ,4.4,2016
Alienware M16,Dell,Gaming,30526478,22894858,25,3238,1252,4.9,2347,Center Dell 69,Có,Hải Phòng,4.1,2023
Pavilion 14,HP,Laptop,28490100,17663862,38,4416,810,5.0,326,Center HP 50,Có,Hà Nội,4.3,2022
Xiaomi 14,Xiaomi,Điện thoại,35960484,30566411,15,3470,602,4.4,228,Smart Xiaomi 67,Có,Cần Thơ,4.8,2023
Galaxy Z Fold5,Samsung,Điện thoại,38598575,33966746,12,1482,1198,4.9,1430,Center Samsung 18,Không,Cần Thơ,4.3,2016
MacBook Air M2,Apple,Laptop,51615400,42840782,17,3734,184,3.9,2838,Smart Apple 92,Có,TP.HCM,4.1,2023
PlayStation 5,Sony,Gaming,10724825,6649391,38,3156,1488,4.7,2100,Center Sony 21,Không,Hải Phòng,4.4,2018
Redmi Buds 5,Xiaomi,Tai nghe,11365082,9773970,14,1338,296,3.8,110,Store Xiaomi 40,Không,Cần Thơ,4.3,2018
Galaxy S24,Samsung,Điện thoại,18613147,17682489,5,2083,25,4.2,2047,Center Samsung 1,Không,Hà Nội,4.2,2023
Vivobook 15,Asus,Laptop,41653753,37488377,10,4935,1229,3.5,4488,Digital Asus 80,Có,TP.HCM,4.2,2016
PlayStation 5,Sony,Gaming,7464308,6419304,14,275,1366,4.4,157,Digital Sony 12,Có,TP.HCM,4.4,2018
AirPods Pro 2,Apple,Tai nghe,5071113,3042667,40,1463,932,4.6,742,Tech Apple 12,Không,Đà Nẵng,4.4,2022
Pavilion 14,HP,Laptop,40677217,24406330,40,541,599,4.2,129,Smart HP 36,Không,Hải Phòng,4.4,2019
WH-1000XM5,Sony,Tai nghe,10568557,9723072,8,905,1170,4.6,649,Center Sony 12,Không,Hải Phòng,4.9,2020
Zenbook OLED,Asus,Laptop,33239187,26258957,21,4314,1177,5.0,2903,Mobile Asus 79,Không,Hải Phòng,4.7,2023
ROG Strix G16,Asus,Laptop,52896528,42846187,19,2389,396,3.5,103,Store Asus 81,Có,Hà Nội,4.8,2022
ROG Strix G16,Asus,Laptop,34400419,25112305,27,4600,1305,3.8,1653,Smart Asus 37,Không,TP.HCM,4.3,2024
XPS 13,Dell,Laptop,12411462,10922086,12,2740,699,4.1,2335,Center Dell 4,Có,Hà Nội,4.3,2021
PlayStation 5,Sony,Gaming,36843186,34264162,7,1122,986,3.7,948,Mega Sony 69,Không,Cần Thơ,4.8,2022
WH-1000XM5,Sony,Tai nghe,9042158,6872040,24,4638,1484,4.5,4553,Center Sony 3,Có,Hải Phòng,4.7,2021
Galaxy S24,Samsung,Điện thoại,23821353,22392071,6,2788,768,4.4,684,Center Samsung 78,Không,Hà Nội,4.6,2020
PlayStation 5,Sony,Gaming,7122533,5555575,22,3400,177,4.2,978,Digital Sony 58,Không,Hà Nội,4.5,2018
Galaxy A55,Samsung,Điện thoại,7509538,6232916,17,768,908,4.3,499,Center Samsung 20,Có,Đà Nẵng,4.9,2024
Xiaomi 14,Xiaomi,Điện thoại,14616367,13008566,11,4238,1385,5.0,1685,Smart Xiaomi 5,Không,Cần Thơ,4.7,2024
Galaxy S24,Samsung,Điện thoại,25869602,24058729,7,4878,178,4.0,382,Tech Samsung 67,Không,TP.HCM,4.6,2020
WH-1000XM5,Sony,Tai nghe,5683479,4717287,17,1587,586,3.9,658,Mega Sony 57,Có,Đà Nẵng,4.1,2020
Galaxy S24,Samsung,Điện thoại,39498027,35153244,11,1702,1111,4.0,657,Digital Samsung 19,Không,Hải Phòng,4.2,2017
Redmi Buds 5,Xiaomi,Tai nghe,5983095,3649687,39,3644,103,3.7,1933,Smart Xiaomi 7,Có,Cần Thơ,4.1,2022
ROG Strix G16,Asus,Laptop,59290112,39724375,33,2923,639,4.0,816,Smart Asus 98,Có,Cần Thơ,4.6,2017
EliteBook 840,HP,Laptop,43425464,38648662,11,3742,635,4.5,2914,Mega HP 60,Không,Hà Nội,4.9,2018
EliteBook 840,HP,Laptop,29317627,21108691,28,3221,375,4.5,2729,Digital HP 42,Không,Cần Thơ,4.0,2023
Galaxy A55,Samsung,Điện thoại,37121797,24500386,34,1409,578,4.7,1242,Center Samsung 17,Có,Cần Thơ,4.8,2017
Redmi Buds 5,Xiaomi,Tai nghe,11195986,10188347,9,2484,1091,4.2,2423,Store Xiaomi 31,Có,Hải Phòng,4.2,2023
ROG Strix G16,Asus,Laptop,34864940,28589250,18,4851,882,4.7,3571,Center Asus 44,Có,Hà Nội,4.7,2017
Xperia 1 V,Sony,Điện thoại,37657207,33138342,12,4861,1220,4.2,4552,Tech Sony 57,Có,Đà Nẵng,5.0,2017
Inspiron 15,Dell,Laptop,58003708,41182632,29,2692,1012,4.5,256,Tech Dell 28,Có,Hải Phòng,4.9,2016
Pavilion 14,HP,Laptop,56350999,48461859,14,3720,1088,3.9,2526,Center HP 58,Có,Hà Nội,4.7,2021
Redmi Buds 5,Xiaomi,Tai nghe,11701106,8892840,24,3571,1470,5.0,1415,Tech Xiaomi 75,Có,Hải Phòng,5.0,2022
Pavilion 14,HP,Laptop,31742398,29203006,8,3034,1124,5.0,8,Smart HP 72,Không,TP.HCM,4.9,2016
MacBook Air M2,Apple,Laptop,59125312,41387718,30,2616,1457,4.1,1567,Store Apple 70,Có,Hà Nội,4.5,2019
XPS 13,Dell,Laptop,36178510,24963171,31,1273,590,5.0,262,Mobile Dell 2,Có,TP.HCM,4.1,2023
PlayStation 5,Sony,Gaming,14111756,12700580,10,1134,1315,4.7,938,Mega Sony 90,Không,Hải Phòng,4.2,2024
Zenbook OLED,Asus,Laptop,42202060,29963462,29,2920,462,3.8,2481,Tech Asus 74,Không,Hà Nội,4.7,2020
Zenbook OLED,Asus,Laptop,50678351,36488412,28,284,77,4.4,193,Tech Asus 75,Không,TP.HCM,4.1,2024
Victus 16,HP,Laptop,43201348,26784835,38,650,1071,4.8,95,Mobile HP 61,Có,Hải Phòng,4.8,2020
Inspiron 15,Dell,Laptop,35054993,21383545,39,98,960,4.2,65,Center Dell 94,Không,Cần Thơ,4.4,2020
Redmi Note 13,Xiaomi,Điện thoại,7370703,5601734,24,4627,533,3.6,3881,Center Xiaomi 22,Có,Đà Nẵng,4.8,2025
Galaxy A55,Samsung,Điện thoại,37531705,33778534,10,1048,1035,3.6,574,Digital Samsung 17,Không,Đà Nẵng,4.9,2016
WH-1000XM5,Sony,Tai nghe,10430444,8761572,16,4857,309,4.5,3034,Mega Sony 23,Không,Hà Nội,4.5,2024
Pavilion 14,HP,Laptop,35008139,31507325,10,1198,1219,4.9,320,Mega HP 64,Không,Cần Thơ,4.2,2023
Xperia 1 V,Sony,Điện thoại,16226189,13305474,18,4742,706,3.6,2170,Mega Sony 15,Có,Hà Nội,4.5,2023
Xiaomi 14,Xiaomi,Điện thoại,20680745,14683328,29,3205,971,3.9,2177,Mega Xiaomi 56,Có,Đà Nẵng,4.9,2023
Zenbook OLED,Asus,Laptop,33185504,20575012,38,346,199,4.9,331,Digital Asus 56,Không,Đà Nẵng,4.3,2017
Redmi Buds 5,Xiaomi,Tai nghe,10100860,7070602,30,3787,1382,4.6,3012,Smart Xiaomi 76,Có,Hải Phòng,4.3,2018
Redmi Buds 5,Xiaomi,Tai nghe,477469,453595,5,566,24,4.1,542,Tech Xiaomi 88,Không,Đà Nẵng,4.2,2020
Redmi Note 13,Xiaomi,Điện thoại,7284504,6847433,6,763,116,4.9,677,Mega Xiaomi 28,Có,TP.HCM,4.1,2025
MacBook Air M2,Apple,Laptop,56049897,47081913,16,918,1424,3.8,306,Store Apple 85,Có,Cần Thơ,4.9,2020
Victus 16,HP,Laptop,58454197,43840647,25,2118,331,4.7,1140,Mega HP 8,Không,Cần Thơ,4.3,2016
Xiaomi 14,Xiaomi,Điện thoại,16940645,11350232,33,578,1007,5.0,210,Center Xiaomi 51,Có,Cần Thơ,4.1,2024
Victus 16,HP,Laptop,26655669,23723545,11,3627,1465,3.9,147,Tech HP 10,Không,Cần Thơ,4.0,2023
AirPods Pro 2,Apple,Tai nghe,11043043,10490890,5,319,1361,4.1,82,Smart Apple 43,Không,Hải Phòng,4.0,2023
Vivobook 15,Asus,Laptop,39106125,35586573,9,4434,462,3.5,3954,Tech Asus 73,Không,Đà Nẵng,4.7,2022
Galaxy Z Fold5,Samsung,Điện thoại,11084557,7980881,28,4389,696,3.6,3770,Mega Samsung 99,Không,Hà Nội,4.2,2016
Zenbook OLED,Asus,Laptop,24818005,18861683,24,3205,218,4.4,1476,Store Asus 11,Không,Hà Nội,4.1,2019
Galaxy Z Fold5,Samsung,Điện thoại,21004466,13442858,36,3194,129,4.7,2640,Digital Samsung 64,Không,TP.HCM,4.0,2016
Redmi Buds 5,Xiaomi,Tai nghe,1018308,712815,30,978,433,4.7,688,Center Xiaomi 59,Có,Hải Phòng,4.2,2017
Galaxy Z Fold5,Samsung,Điện thoại,14501975,9281264,36,166,965,4.9,163,Tech Samsung 32,Có,TP.HCM,4.2,2016
Redmi Note 13,Xiaomi,Điện thoại,35614029,30271924,15,4851,130,4.7,876,Tech Xiaomi 64,Có,TP.HCM,4.8,2022
Redmi Buds 5,Xiaomi,Tai nghe,11681627,8177138,30,2666,247,5.0,2364,Center Xiaomi 18,Không,Hà Nội,4.8,2025
MacBook Air M2,Apple,Laptop,16242749,14293619,12,2253,289,4.6,693,Smart Apple 48,Có,Cần Thơ,4.2,2025
Galaxy S24,Samsung,Điện thoại,11708728,8313196,29,1302,32,4.8,170,Tech Samsung 1,Có,TP.HCM,4.7,2025
Xiaomi 14,Xiaomi,Điện thoại,36944656,32141850,13,1698,293,4.5,1076,Store Xiaomi 53,Có,Hà Nội,4.6,2016
Inspiron 15,Dell,Laptop,45546891,40992201,10,2477,712,4.1,2289,Mobile Dell 25,Có,Hải Phòng,5.0,2025
Redmi Buds 5,Xiaomi,Tai nghe,8815120,7140247,19,3812,1282,4.5,1137,Tech Xiaomi 25,Có,Hà Nội,4.7,2023
ROG Strix G16,Asus,Laptop,22721284,21130794,7,452,1320,4.0,112,Store Asus 33,Không,Hải Phòng,4.8,2023
Galaxy S24,Samsung,Điện thoại,8520301,5197383,39,1450,323,4.7,998,Center Samsung 15,Có,Hà Nội,4.7,2025
XPS 13,Dell,Laptop,40123061,33302140,17,2678,471,4.7,1340,Mobile Dell 13,Có,Cần Thơ,4.9,2022
iPhone 15,Apple,Điện thoại,36607621,23428877,36,455,892,3.7,317,Store Apple 23,Không,Đà Nẵng,4.1,2019
PlayStation 5,Sony,Gaming,23098893,19172081,17,2761,260,3.5,2334,Tech Sony 36,Có,TP.HCM,4.9,2023
ROG Strix G16,Asus,Laptop,35056995,28396165,19,2427,1236,3.7,701,Center Asus 71,Có,TP.HCM,4.4,2024
ROG Strix G16,Asus,Laptop,51700320,33605208,35,3800,571,3.5,1758,Smart Asus 32,Có,Đà Nẵng,4.4,2019
Inspiron 15,Dell,Laptop,50500407,47975386,5,3432,90,3.6,1932,Smart Dell 99,Có,Cần Thơ,4.5,2023
EliteBook 840,HP,Laptop,18576615,12446332,33,4067,492,3.6,3089,Tech HP 89,Không,Hà Nội,4.1,2020
AirPods Pro 2,Apple,Tai nghe,1822188,1712856,6,3940,1370,4.0,2885,Store Apple 74,Có,Cần Thơ,4.5,2018
EliteBook 840,HP,Laptop,39203274,32930750,16,3044,1283,4.2,2599,Tech HP 81,Có,Cần Thơ,4.9,2021
Inspiron 15,Dell,Laptop,31903816,21694594,32,2220,1429,4.9,853,Mega Dell 88,Có,Hải Phòng,4.9,2016
Alienware M16,Dell,Gaming,29426990,27072830,8,919,784,4.0,638,Tech Dell 47,Không,Hà Nội,4.6,2017
Alienware M16,Dell,Gaming,18738029,16302085,13,2753,488,4.3,2663,Store Dell 95,Có,Hà Nội,4.3,2020
Alienware M16,Dell,Gaming,33382293,26038188,22,456,129,4.1,236,Store Dell 65,Có,Cần Thơ,4.7,2024
Xiaomi 14,Xiaomi,Điện thoại,29705849,27032322,9,1552,937,3.6,805,Mobile Xiaomi 37,Có,TP.HCM,4.2,2017
WH-1000XM5,Sony,Tai nghe,8627014,7419232,14,1683,1066,4.9,51,Digital Sony 54,Có,Cần Thơ,4.3,2023
Xperia 1 V,Sony,Điện thoại,6441652,4960072,23,1558,128,3.5,480,Mega Sony 67,Không,Cần Thơ,4.6,2021
Zenbook OLED,Asus,Laptop,56684795,35144572,38,4503,911,4.2,1085,Mega Asus 40,Có,Đà Nẵng,4.2,2021
Redmi Note 13,Xiaomi,Điện thoại,14954817,10917016,27,2339,933,4.9,663,Smart Xiaomi 69,Không,Hà Nội,5.0,2018
iPhone 15,Apple,Điện thoại,12846189,11946955,7,2603,1176,3.7,1071,Digital Apple 24,Có,Hải Phòng,4.7,2021
Redmi Note 13,Xiaomi,Điện thoại,30025897,20117350,33,4432,332,4.3,1000,Tech Xiaomi 52,Không,Hà Nội,4.9,2021
iPhone 15,Apple,Điện thoại,39051643,28898215,26,2431,970,4.8,2354,Smart Apple 19,Không,Đà Nẵng,4.7,2023
Galaxy S24,Samsung,Điện thoại,12843422,9761000,24,213,822,4.4,61,Store Samsung 46,Có,Đà Nẵng,4.1,2019
Alienware M16,Dell,Gaming,19907821,15528100,22,1613,46,3.6,917,Smart Dell 86,Có,Hải Phòng,4.4,2023
Redmi Buds 5,Xiaomi,Tai nghe,10451521,6584458,37,469,1365,4.0,80,Smart Xiaomi 55,Không,Cần Thơ,4.4,2020
Xiaomi 14,Xiaomi,Điện thoại,25675257,17202422,33,4605,179,3.8,3644,Smart Xiaomi 54,Không,Đà Nẵng,4.2,2022
PlayStation 5,Sony,Gaming,14366228,12929605,10,1186,425,4.0,1080,Digital Sony 9,Không,TP.HCM,4.0,2020
ROG Strix G16,Asus,Laptop,49300035,32538023,34,4662,280,3.8,3132,Digital Asus 71,Không,TP.HCM,4.8,2020
EliteBook 840,HP,Laptop,32395348,20733022,36,4591,949,3.8,25,Mobile HP 34,Không,Cần Thơ,4.1,2020
ROG Strix G16,Asus,Laptop,45009944,36007955,20,243,244,4.6,131,Tech Asus 77,Không,Hải Phòng,4.5,2022
Victus 16,HP,Laptop,54144101,35193665,35,989,764,4.3,594,Tech HP 34,Có,Hải Phòng,4.1,2021
Zenbook OLED,Asus,Laptop,21093076,15397945,27,1347,108,3.9,864,Smart Asus 46,Có,Đà Nẵng,4.3,2017
Inspiron 15,Dell,Laptop,54146376,45482955,16,784,1226,4.6,561,Digital Dell 41,Không,Đà Nẵng,4.7,2021
Galaxy Z Fold5,Samsung,Điện thoại,28597447,24593804,14,115,280,4.3,52,Mega Samsung 63,Không,Đà Nẵng,4.9,2018
Galaxy S24,Samsung,Điện thoại,15372004,9684362,37,1821,385,4.7,1149,Center Samsung 89,Có,Cần Thơ,4.5,2017
Galaxy S24,Samsung,Điện thoại,6166311,4008102,35,2862,638,4.5,574,Mega Samsung 57,Không,Hà Nội,4.7,2016
WH-1000XM5,Sony,Tai nghe,4030545,3506574,13,1176,1409,3.8,261,Mobile Sony 17,Có,Cần Thơ,4.7,2017
Galaxy S24,Samsung,Điện thoại,37497795,25498500,32,358,402,3.7,342,Center Samsung 76,Có,Cần Thơ,4.1,2020
Galaxy S24,Samsung,Điện thoại,25243107,23980951,5,800,253,4.9,215,Center Samsung 26,Có,Đà Nẵng,4.0,2018
EliteBook 840,HP,Laptop,30614365,22348486,27,2895,328,4.8,2515,Mobile HP 65,Có,TP.HCM,4.8,2016
Inspiron 15,Dell,Laptop,24854536,19137992,23,1417,1100,3.5,207,Mobile Dell 65,Không,Đà Nẵng,4.7,2018
Zenbook OLED,Asus,Laptop,19202425,16130037,16,2916,777,4.1,2111,Mobile Asus 53,Có,Đà Nẵng,4.1,2017
Inspiron 15,Dell,Laptop,45273649,32597027,28,2371,1141,4.6,341,Digital Dell 64,Có,Cần Thơ,4.3,2025
PlayStation 5,Sony,Gaming,34793374,28182632,19,4547,834,3.9,3510,Mobile Sony 9,Không,Đà Nẵng,4.2,2023
WH-1000XM5,Sony,Tai nghe,6949981,4656487,33,4291,1348,4.5,981,Mobile Sony 51,Không,Hải Phòng,5.0,2018
Galaxy A55,Samsung,Điện thoại,18360461,13586741,26,1650,1218,4.8,832,Tech Samsung 30,Không,Cần Thơ,4.3,2025
XPS 13,Dell,Laptop,55206778,38644744,30,2927,974,4.5,1661,Store Dell 66,Không,Hà Nội,4.8,2017
Galaxy A55,Samsung,Điện thoại,37839144,24217052,36,1900,1286,4.9,65,Tech Samsung 95,Có,TP.HCM,4.5,2016
MacBook Air M2,Apple,Laptop,52572940,39429705,25,1261,620,4.4,202,Mega Apple 10,Không,Cần Thơ,4.2,2023
Zenbook OLED,Asus,Laptop,29560059,18031635,39,2824,1107,4.3,134,Store Asus 16,Không,Cần Thơ,4.3,2022
Vivobook 15,Asus,Laptop,14414652,13405626,7,1458,1140,4.5,625,Smart Asus 22,Không,Cần Thơ,4.1,2022
ROG Strix G16,Asus,Laptop,50175227,32112145,36,4546,1403,4.3,3853,Store Asus 72,Có,Hải Phòng,4.1,2020
Zenbook OLED,Asus,Laptop,37353574,27268109,27,2340,656,3.6,189,Mobile Asus 47,Không,Hải Phòng,4.0,2021
ROG Strix G16,Asus,Laptop,40732538,29734752,27,2937,843,4.0,2713,Mobile Asus 32,Có,Đà Nẵng,4.6,2017
Victus 16,HP,Laptop,19682038,14564708,26,1400,40,4.3,81,Store HP 85,Không,Hải Phòng,4.5,2022
Redmi Note 13,Xiaomi,Điện thoại,36521026,34329764,6,2602,773,4.4,1325,Center Xiaomi 13,Không,TP.HCM,4.7,2019
Xiaomi 14,Xiaomi,Điện thoại,38740224,28667765,26,1375,1259,3.9,897,Mobile Xiaomi 64,Có,Hải Phòng,4.2,2020
Galaxy A55,Samsung,Điện thoại,31979598,25903474,19,763,1469,4.8,102,Center Samsung 44,Không,TP.HCM,4.6,2024
Vivobook 15,Asus,Laptop,26075356,19035009,27,638,1334,4.7,521,Mega Asus 39,Không,Hải Phòng,4.3,2022
Vivobook 15,Asus,Laptop,53940615,33982587,37,3722,1375,4.6,744,Tech Asus 81,Có,Hải Phòng,4.5,2023
Redmi Buds 5,Xiaomi,Tai nghe,9237547,6281531,32,4647,1488,4.4,4283,Mobile Xiaomi 47,Không,Hà Nội,4.2,2020
Victus 16,HP,Laptop,39532100,29649075,25,537,1298,3.8,427,Digital HP 37,Có,Đà Nẵng,4.7,2019
ROG Strix G16,Asus,Laptop,19620787,16873876,14,1582,56,3.9,640,Store Asus 63,Không,Cần Thơ,4.6,2016
iPhone 15,Apple,Điện thoại,23301390,20272209,13,248,529,4.7,76,Smart Apple 71,Có,TP.HCM,5.0,2023
Pavilion 14,HP,Laptop,15712950,14141655,10,2581,1232,3.9,265,Store HP 47,Có,Cần Thơ,4.9,2018
iPhone 15,Apple,Điện thoại,38571110,33942576,12,4285,1360,4.7,2067,Store Apple 12,Có,Hải Phòng,4.1,2021
Redmi Buds 5,Xiaomi,Tai nghe,6842286,5473828,20,3474,446,3.7,722,Mobile Xiaomi 36,Không,Cần Thơ,4.3,2025
Galaxy A55,Samsung,Điện thoại,30146025,26528502,12,2602,1117,4.1,1014,Digital Samsung 19,Không,Cần Thơ,4.7,2020
Galaxy Z Fold5,Samsung,Điện thoại,7336021,6749139,8,1973,518,4.3,638,Smart Samsung 90,Không,TP.HCM,4.5,2019
Victus 16,HP,Laptop,38069848,36166355,5,3229,523,4.0,3104,Mobile HP 39,Có,Hà Nội,4.9,2021
EliteBook 840,HP,Laptop,39265580,36516989,7,2254,164,4.7,2018,Store HP 95,Không,Đà Nẵng,4.7,2017
Pavilion 14,HP,Laptop,58874346,46510733,21,4157,135,4.0,2681,Store HP 89,Có,TP.HCM,4.6,2018
PlayStation 5,Sony,Gaming,14132994,13426344,5,3292,409,4.4,1290,Center Sony 11,Có,Hà Nội,4.2,2018
EliteBook 840,HP,Laptop,58020130,40033889,31,2626,924,4.2,551,Digital HP 23,Không,Đà Nẵng,4.2,2022
Redmi Note 13,Xiaomi,Điện thoại,31406947,22298932,29,4682,459,3.5,193,Center Xiaomi 83,Có,TP.HCM,5.0,2019
Redmi Buds 5,Xiaomi,Tai nghe,3131255,2880754,8,3295,1265,4.1,1070,Mobile Xiaomi 12,Không,Hà Nội,4.9,2017
Galaxy Z Fold5,Samsung,Điện thoại,34203008,22573985,34,4058,242,3.8,837,Mobile Samsung 35,Không,Cần Thơ,4.4,2022
Pavilion 14,HP,Laptop,52270874,42862116,18,2328,1488,4.5,1718,Mobile HP 53,Có,TP.HCM,4.3,2020
AirPods Pro 2,Apple,Tai nghe,7866133,6292906,20,3038,1193,4.5,1881,Tech Apple 2,Không,Hà Nội,4.9,2022
WH-1000XM5,Sony,Tai nghe,6733986,4579110,32,4902,524,3.6,4567,Tech Sony 7,Không,Hà Nội,4.5,2021
Alienware M16,Dell,Gaming,8054250,7651537,5,2087,1033,4.4,1244,Store Dell 86,Không,Hà Nội,5.0,2024
Galaxy Z Fold5,Samsung,Điện thoại,17037466,13459598,21,1401,1031,4.2,699,Store Samsung 17,Có,Đà Nẵng,4.7,2022
MacBook Air M2,Apple,Laptop,19841137,14880852,25,371,261,4.2,148,Smart Apple 47,Không,Đà Nẵng,4.9,2020
XPS 13,Dell,Laptop,46693449,35020086,25,3579,337,4.0,2017,Mega Dell 20,Không,TP.HCM,4.2,2016
iPhone 15,Apple,Điện thoại,7406674,4814338,35,2141,334,4.6,1792,Tech Apple 64,Có,Cần Thơ,4.4,2024
Vivobook 15,Asus,Laptop,45083901,39673832,12,1222,253,4.0,422,Mega Asus 37,Có,Hà Nội,4.7,2020
Alienware M16,Dell,Gaming,44304145,36329398,18,4790,8,4.3,4680,Mobile Dell 54,Có,Hà Nội,4.8,2017
Redmi Note 13,Xiaomi,Điện thoại,24077791,21188456,12,3239,765,4.4,439,Mega Xiaomi 42,Có,TP.HCM,4.1,2023
Zenbook OLED,Asus,Laptop,30073654,28569971,5,2708,89,4.5,1860,Digital Asus 94,Có,Hà Nội,4.9,2020
Redmi Note 13,Xiaomi,Điện thoại,9746213,5847727,40,4943,781,3.6,2095,Mobile Xiaomi 31,Không,TP.HCM,4.0,2019
MacBook Air M2,Apple,Laptop,39004354,30033352,23,1272,246,3.9,890,Smart Apple 40,Có,Đà Nẵng,4.7,2021
Inspiron 15,Dell,Laptop,44858045,30054890,33,3189,975,3.9,2463,Store Dell 12,Không,Đà Nẵng,4.6,2022
PlayStation 5,Sony,Gaming,11237598,10450966,7,4215,699,5.0,1841,Smart Sony 88,Có,Cần Thơ,4.5,2024
Galaxy A55,Samsung,Điện thoại,36421656,24766726,32,658,978,4.0,135,Smart Samsung 39,Có,Hải Phòng,4.4,2025
