STT;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong;Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ;Tong_Hang ;Tong_Thanh_Toan ;Tan_suat_mua_hang ;Thuong_Hieu;Danh_Muc
5853;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;12;143;1.190.000;1.197.000;1;Kingston;Linh kiện
5854;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP011;Tai nghe AirPods 3;Đồ điện tử;2;3.990.000;15;1.197.000;7.980.000;7.483.000;20;Apple;Tai nghe
5855;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP015;Smart TV Samsung 43 inch;Đồ điện tử;4;7.990.000;5;1.598.000;31.960.000;33.420.000;6;Samsung;Tivi
5856;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;2;3.990.000;15;1.197.000;7.980.000;7.506.000;20;Apple;Tai nghe
5857;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP008;Laptop Dell Inspiron 15;Đồ điện tử;1;13.990.000;15;2.098.000;13.990.000;13.126.000;2;Dell;Laptop
5858;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP018;Chuột Logitech M331;Đồ điện tử;1;390;7;27;390;424;2;Logitech;Phụ kiện
5859;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP017;Màn hình Dell 24 inch;Đồ điện tử;1;3.290.000;5;164;3.290.000;3.479.000;20;Dell;Màn hình
5860;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;4;990;15;594;3.960.000;3.731.000;20;Xiaomi;Tai nghe
5861;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP026;Camera Xiaomi C300;Đồ điện tử;1;990;3;30;990;1.084.000;20;Xiaomi;Camera
5862;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP023;Apple Watch SE;Đồ điện tử;5;5.990.000;1;2.995.000;29.950.000;29.669.000;20;Apple;Đồng hồ thông minh
5863;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;4;990;7;277;3.960.000;4.091.000;20;Xiaomi;Tai nghe
5864;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;5;1.190.000;0;0;5.950.000;6.563.000;20;JBL;Loa
5865;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP005;Xiaomi Redmi Note 13;Đồ điện tử;1;4.990.000;5;250;4.990.000;5.232.000;20;Xiaomi;Điện thoại
5866;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP019;Bàn phím Logitech K380;Đồ điện tử;1;690;3;21;690;776;20;Logitech;Phụ kiện
5867;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;8;19.990.000;15;23.988.000;159.920.000;149.543.000;20;Apple;Điện thoại
5868;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP010;Laptop Asus Vivobook 15;Đồ điện tử;8;12.990.000;0;0;103.920.000;114.347.000;17;Asus;Laptop
5869;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP018;Chuột Logitech M331;Đồ điện tử;2;390;5;39;780;860;20;Logitech;Phụ kiện
5870;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP001;Samsung Galaxy A15;Đồ điện tử;3;4.590.000;7;964;13.770.000;14.132.000;19;Samsung;Điện thoại
5871;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990;0;0;1.980.000;2.218.000;20;Xiaomi;Tai nghe
5872;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP026;Camera Xiaomi C300;Đồ điện tử;2;990;12;238;1.980.000;1.934.000;20;Xiaomi;Camera
5873;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP024;Samsung Galaxy Watch6;Đồ điện tử;3;5.490.000;7;1.153.000;16.470.000;16.884.000;18;Samsung;Đồng hồ thông minh
5874;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP026;Camera Xiaomi C300;Đồ điện tử;3;990;5;148;2.970.000;3.129.000;20;Xiaomi;Camera
5875;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP005;Xiaomi Redmi Note 13;Đồ điện tử;3;4.990.000;2;2.994.000;14.970.000;13.204.000;20;Xiaomi;Điện thoại
5876;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350;3;10;350;404;20;Anker;Phụ kiện
5877;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP004;iPhone 14;Đồ điện tử;1;16.990.000;2;3.398.000;16.990.000;14.981.000;20;Apple;Điện thoại
5878;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP009;Laptop HP Pavilion 14;Đồ điện tử;4;15.990.000;2;12.792.000;63.960.000;56.310.000;20;HP;Laptop
5879;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP002;Samsung Galaxy S24;Đồ điện tử;10;18.990.000;2;37.980.000;189.900.000;167.140.000;20;Samsung;Điện thoại
5880;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;0;0;11.990.000;13.214.000;3;LG;Tivi
5881;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP007;MacBook Air M2;Đồ điện tử;2;23.990.000;1;4.798.000;47.980.000;47.528.000;20;Apple;Laptop
5882;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP026;Camera Xiaomi C300;Đồ điện tử;1;990;0;0;990;1.111.000;20;Xiaomi;Camera
5883;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;6;1.190.000;12;857;7.140.000;6.951.000;19;Kingston;Linh kiện
5884;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP002;Samsung Galaxy S24;Đồ điện tử;8;18.990.000;5;7.596.000;151.920.000;158.801.000;20;Samsung;Điện thoại
5885;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;3;390;12.990.000;13.882.000;1;Asus;Laptop
5886;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP002;Samsung Galaxy S24;Đồ điện tử;1;18.990.000;0;0;18.990.000;20.911.000;20;Samsung;Điện thoại
5887;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;12;143;1.190.000;1.197.000;20;Kingston;Linh kiện
5888;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;0;0;11.990.000;13.207.000;20;LG;Tivi
5889;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP006;Xiaomi Pad 6;Đồ điện tử;8;7.990.000;2;12.784.000;63.920.000;56.275.000;20;Xiaomi;Máy tính bảng
5890;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP002;Samsung Galaxy S24;Đồ điện tử;10;18.990.000;0;0;189.900.000;208.930.000;20;Samsung;Điện thoại
5891;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP006;Xiaomi Pad 6;Đồ điện tử;3;7.990.000;7;1.678.000;23.970.000;24.556.000;9;Xiaomi;Máy tính bảng
5892;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;3;360;11.990.000;12.815.000;20;LG;Tivi
5893;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;6;1.590.000;0;0;9.540.000;10.539.000;20;Samsung;Tai nghe
5894;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP023;Apple Watch SE;Đồ điện tử;5;5.990.000;0;0;29.950.000;32.967.000;20;Apple;Đồng hồ thông minh
5895;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP025;Máy in Canon LBP 2900;Đồ điện tử;4;4.290.000;0;0;17.160.000;18.904.000;6;Canon;Máy in
5896;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;3;1.190.000;0;0;3.570.000;3.967.000;20;JBL;Loa
5897;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;0;0;23.990.000;26.414.000;20;Apple;Laptop
5898;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP025;Máy in Canon LBP 2900;Đồ điện tử;1;4.290.000;12;515;4.290.000;4.183.000;20;Canon;Máy in
5899;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP005;Xiaomi Redmi Note 13;Đồ điện tử;4;4.990.000;1;1.996.000;19.960.000;19.805.000;20;Xiaomi;Điện thoại
5900;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;2;1.190.000;0;0;2.380.000;2.636.000;20;Kingston;Linh kiện
5901;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP009;Laptop HP Pavilion 14;Đồ điện tử;3;15.990.000;5;2.398.000;47.970.000;50.169.000;20;HP;Laptop
5902;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;12;551;4.590.000;4.478.000;20;Samsung;Điện thoại
5903;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;4;23.990.000;0;0;95.960.000;105.586.000;3;Apple;Laptop
5904;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP023;Apple Watch SE;Đồ điện tử;1;5.990.000;0;0;5.990.000;6.619.000;20;Apple;Đồng hồ thông minh
5905;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP011;Tai nghe AirPods 3;Đồ điện tử;2;3.990.000;3;239;7.980.000;8.560.000;20;Apple;Tai nghe
5906;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;0;0;1.190.000;1.354.000;20;Kingston;Linh kiện
5907;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP011;Tai nghe AirPods 3;Đồ điện tử;3;3.990.000;1;1.197.000;11.970.000;11.890.000;20;Apple;Tai nghe
5908;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP004;iPhone 14;Đồ điện tử;1;16.990.000;0;0;16.990.000;18.717.000;20;Apple;Điện thoại
5909;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP023;Apple Watch SE;Đồ điện tử;2;5.990.000;0;0;11.980.000;13.206.000;20;Apple;Đồng hồ thông minh
5910;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP005;Xiaomi Redmi Note 13;Đồ điện tử;4;4.990.000;0;0;19.960.000;22.001.000;20;Xiaomi;Điện thoại
5911;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;1;3.990.000;3;120;3.990.000;4.302.000;20;Apple;Tai nghe
5912;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;1;19.990.000;5;1.000.000;19.990.000;20.914.000;20;Apple;Điện thoại
5913;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP026;Camera Xiaomi C300;Đồ điện tử;2;990;0;0;1.980.000;2.196.000;16;Xiaomi;Camera
5914;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;5;1.190.000;2;1.190.000;5.950.000;5.276.000;12;Kingston;Linh kiện
5915;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;3;1.590.000;3;143;4.770.000;5.118.000;2;Samsung;Tai nghe
5916;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP021;Sạc nhanh Anker 20W;Đồ điện tử;4;350;7;98;1.400.000;1.467.000;20;Anker;Phụ kiện
5917;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;15;688;4.590.000;4.337.000;11;Samsung;Điện thoại
5918;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;0;0;4.590.000;5.077.000;20;Samsung;Điện thoại
5919;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP007;MacBook Air M2;Đồ điện tử;2;23.990.000;5;2.399.000;47.980.000;50.164.000;2;Apple;Laptop
5920;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;3;7.990.000;0;0;23.970.000;26.412.000;20;Xiaomi;Máy tính bảng
5921;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP021;Sạc nhanh Anker 20W;Đồ điện tử;2;350;0;0;700;795;1;Anker;Phụ kiện
5922;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP022;Cáp sạc Type-C Anker;Đồ điện tử;8;190;2;304;1.520.000;1.356.000;20;Anker;Phụ kiện
5923;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;8;1.190.000;15;1.428.000;9.520.000;8.946.000;20;Kingston;Linh kiện
5924;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;3;1.190.000;0;0;3.570.000;3.949.000;20;JBL;Loa
5925;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP005;Xiaomi Redmi Note 13;Đồ điện tử;1;4.990.000;3;150;4.990.000;5.354.000;20;Xiaomi;Điện thoại
5926;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP009;Laptop HP Pavilion 14;Đồ điện tử;5;15.990.000;0;0;79.950.000;87.963.000;20;HP;Laptop
5927;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;4;3.990.000;3;479;15.960.000;17.074.000;20;Apple;Tai nghe
5928;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP011;Tai nghe AirPods 3;Đồ điện tử;5;3.990.000;12;2.394.000;19.950.000;19.342.000;20;Apple;Tai nghe
5929;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP026;Camera Xiaomi C300;Đồ điện tử;2;990;7;139;1.980.000;2.055.000;20;Xiaomi;Camera
5930;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP004;iPhone 14;Đồ điện tử;5;16.990.000;0;0;84.950.000;93.490.000;2;Apple;Điện thoại
5931;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;0;0;1.190.000;1.331.000;20;Kingston;Linh kiện
5932;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;12;959;7.990.000;7.759.000;20;Xiaomi;Máy tính bảng
5933;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;6;3.990.000;0;0;23.940.000;26.352.000;20;Apple;Tai nghe
5934;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;1;3.990.000;3;120;3.990.000;4.297.000;20;Apple;Tai nghe
5935;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP024;Samsung Galaxy Watch6;Đồ điện tử;1;5.490.000;2;1.098.000;5.490.000;4.849.000;20;Samsung;Đồng hồ thông minh
5936;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP004;iPhone 14;Đồ điện tử;1;16.990.000;12;2.039.000;16.990.000;16.471.000;11;Apple;Điện thoại
5937;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP004;iPhone 14;Đồ điện tử;1;16.990.000;7;1.189.000;16.990.000;17.416.000;20;Apple;Điện thoại
5938;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP008;Laptop Dell Inspiron 15;Đồ điện tử;1;13.990.000;1;1.399.000;13.990.000;13.875.000;20;Dell;Laptop
5939;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP022;Cáp sạc Type-C Anker;Đồ điện tử;3;190;0;0;570;672;20;Anker;Phụ kiện
5940;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190;15;28;190;196;20;Anker;Phụ kiện
5941;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;0;0;7.990.000;8.817.000;20;Xiaomi;Máy tính bảng
5942;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP019;Bàn phím Logitech K380;Đồ điện tử;10;690;0;0;6.900.000;7.630.000;20;Logitech;Phụ kiện
5943;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;1;990;3;30;990;1.074.000;20;Xiaomi;Tai nghe
5944;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990;15;297;1.980.000;1.869.000;20;Xiaomi;Tai nghe
5945;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP002;Samsung Galaxy S24;Đồ điện tử;1;18.990.000;0;0;18.990.000;20.929.000;20;Samsung;Điện thoại
5946;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;2;4.798.000;23.990.000;21.139.000;20;Apple;Laptop
5947;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350;3;10;350;414;10;Anker;Phụ kiện
5948;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP004;iPhone 14;Đồ điện tử;1;16.990.000;2;3.398.000;16.990.000;14.976.000;20;Apple;Điện thoại
5949;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP003;iPhone 15;Đồ điện tử;2;19.990.000;12;4.798.000;39.980.000;38.725.000;20;Apple;Điện thoại
5950;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP024;Samsung Galaxy Watch6;Đồ điện tử;4;5.490.000;2;4.392.000;21.960.000;19.360.000;20;Samsung;Đồng hồ thông minh
5951;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;6;990;0;0;5.940.000;6.552.000;2;Xiaomi;Tai nghe
5952;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP002;Samsung Galaxy S24;Đồ điện tử;8;18.990.000;0;0;151.920.000;167.140.000;2;Samsung;Điện thoại
5953;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP025;Máy in Canon LBP 2900;Đồ điện tử;4;4.290.000;0;0;17.160.000;18.911.000;20;Canon;Máy in
5954;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP025;Máy in Canon LBP 2900;Đồ điện tử;1;4.290.000;0;0;4.290.000;4.764.000;20;Canon;Máy in
5955;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP025;Máy in Canon LBP 2900;Đồ điện tử;2;4.290.000;5;429;8.580.000;8.994.000;20;Canon;Máy in
5956;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP002;Samsung Galaxy S24;Đồ điện tử;2;18.990.000;15;5.697.000;37.980.000;35.529.000;20;Samsung;Điện thoại
5957;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP024;Samsung Galaxy Watch6;Đồ điện tử;1;5.490.000;12;659;5.490.000;5.359.000;20;Samsung;Đồng hồ thông minh
5958;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP016;Smart TV LG 55 inch;Đồ điện tử;3;11.990.000;2;7.194.000;35.970.000;31.684.000;20;LG;Tivi
5959;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;1;1.590.000;5;80;1.590.000;1.689.000;20;Samsung;Tai nghe
5960;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP025;Máy in Canon LBP 2900;Đồ điện tử;1;4.290.000;5;214;4.290.000;4.502.000;20;Canon;Máy in
5961;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP008;Laptop Dell Inspiron 15;Đồ điện tử;1;13.990.000;12;1.679.000;13.990.000;13.587.000;1;Dell;Laptop
5962;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP024;Samsung Galaxy Watch6;Đồ điện tử;2;5.490.000;3;329;10.980.000;11.738.000;20;Samsung;Đồng hồ thông minh
5963;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;5;1.190.000;0;0;5.950.000;6.580.000;20;Kingston;Linh kiện
5964;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP024;Samsung Galaxy Watch6;Đồ điện tử;5;5.490.000;7;1.922.000;27.450.000;28.109.000;20;Samsung;Đồng hồ thông minh
5965;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;7;559;7.990.000;8.202.000;20;Xiaomi;Máy tính bảng
5966;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;3;19.990.000;2;11.994.000;59.970.000;52.792.000;20;Apple;Điện thoại
5967;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP023;Apple Watch SE;Đồ điện tử;2;5.990.000;12;1.438.000;11.980.000;11.618.000;20;Apple;Đồng hồ thông minh
5968;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP008;Laptop Dell Inspiron 15;Đồ điện tử;1;13.990.000;3;420;13.990.000;14.972.000;20;Dell;Laptop
5969;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP019;Bàn phím Logitech K380;Đồ điện tử;1;690;0;0;690;784;3;Logitech;Phụ kiện
5970;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;15;1.198.000;7.990.000;7.511.000;5;Xiaomi;Máy tính bảng
5971;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP023;Apple Watch SE;Đồ điện tử;1;5.990.000;5;300;5.990.000;6.281.000;20;Apple;Đồng hồ thông minh
5972;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;5;19.990.000;7;6.997.000;99.950.000;102.293.000;20;Apple;Điện thoại
5973;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;3;7.990.000;12;2.876.000;23.970.000;23.238.000;1;Xiaomi;Máy tính bảng
5974;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP003;iPhone 15;Đồ điện tử;1;19.990.000;3;600;19.990.000;21.351.000;3;Apple;Điện thoại
