STT;Ma_ky_bao_cao;Nam_bao_cao;Tuan_bao_cao;Loai_luong_(XNK);Ten_nuoc_doi_tac;Mo_hang_hoa;Don_vi_so_luong;So_luong;So_luong_thay_the;Trong_luong_tinh_kg;Gia_tri_CIF_(USD);Gia_tri_FOB_(USD);Gia_tri_chinh_(USD)
10377;20220101;2022;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;98735,44;0;51768,885;25326545,4;0;25326545,4
10378;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;275;275;139;39694,27;0;39694,27
10382;20220101;2022;52;Nhập khẩu;Đức;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2049;2049;7432,094;389923,38;0;389923,38
10384;20220101;2022;52;Nhập khẩu;Hà Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;17012;17012;4170;741630,687;0;741630,687
10387;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;65447,44;0;36803,201;22274707,55;0;22274707,55
10388;20220101;2022;52;Nhập khẩu;Tây Ban Nha;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;13310;13310;2858,091;1617935,149;0;1617935,149
10390;20220101;2022;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1410;1410;1189,26;381968,06;0;381968,06
10397;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1252;1252;1072,04;335092,53;0;335092,53
10475;20220101;2022;52;Nhập khẩu;Hồng Kông (Trung Quốc);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;5000000;5000000;5134700;104931,161;92874,891;104931,161
10485;20220101;2022;52;Nhập khẩu;Pháp;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;78,836;0;66,961;36155,49;0;36155,49
10488;20220101;2022;52;Nhập khẩu;Ý;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;1274,064;0;670,287;479958,968;0;479958,968
10492;20220101;2022;52;Nhập khẩu;Slovakia;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;3,057;0;3,057;506,145;0;506,145
10497;20220101;2022;52;Nhập khẩu;Argentina;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;3,8;3,8;3,8;2303,62;0;2303,62
10504;20220101;2022;52;Nhập khẩu;Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;750,449;0;285,21;504239,84;0;504239,84
10513;20220101;2022;52;Nhập khẩu;Hoa Kỳ;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;399,183;0;126,35;154924,61;0;154924,61
10514;20220101;2022;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;1567;1567;45345;2334516,962;0;2334516,962
10516;20220101;2022;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;3503;3503;290,025;96079,681;0;96079,681
10520;20220101;2022;52;Nhập khẩu;Litva;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;257;257;15,671;2701,205;0;2701,205
10521;20220101;2022;52;Nhập khẩu;Hà Lan;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;3020;3020;4;30676,84;0;30676,84
10524;20220101;2022;52;Nhập khẩu;Tây Ban Nha;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;139;139;175;42321,354;0;42321,354
10525;20220101;2022;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;482;482;352,5;108671,58;0;108671,58
10537;20220101;2022;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;8346;8346;144077,947;6028199,718;0;6028199,718
10541;20220101;2022;52;Nhập khẩu;Hà Lan;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;6817;6817;115637;4724938,575;0;4724938,575
10550;20220101;2022;52;Nhập khẩu;Thế giới;Mạch tích hợp điện tử;chiếc/đơn vị;961;961;9;43461,6;0;43461,6
10556;20220101;2022;52;Nhập khẩu;Hà Lan;Mạch tích hợp điện tử;chiếc/đơn vị;3167882,937;0;33785,695;13222951,64;0;13222951,64
10565;20220101;2022;52;Nhập khẩu;Châu Á khác (chưa xác định);Mạch tích hợp điện tử;chiếc/đơn vị;10000;10000;3,67;7281,15;0;7281,15
10590;20220101;2022;52;Xuất khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1679;1679;6622;0;1351309,793;1351309,793
10615;20220101;2022;52;Xuất khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;1076;1076;1743;0;811236,453;811236,453
10629;20220101;2022;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2014;2014;821;174612;173821;174612
10631;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1334;1334;419;73889;73882;73889
10633;20220101;2022;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;216588;216588;296446,162;14150839,06;13710445,7;14150839,06
10634;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;431;431;115,03;14434,138;13127,304;14434,138
10638;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;216085;216085;296289,785;14132397,02;13693683,27;14132397,02
10670;20220101;2022;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;58676;58676;9701;1513925;1478966;1513925
10671;20220101;2022;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;2900;2900;837;334575;332569;334575
10672;20220101;2022;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;55776;55776;8864;1179350;1146397;1179350
10675;20220101;2022;52;Nhập khẩu;Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;17,027;0;17,027;4336,454;4265,9;4336,454
10677;20220101;2022;52;Nhập khẩu;Vương quốc Anh;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;0,024;0;0,024;6,318;6,318;6,318
10678;20220101;2022;52;Nhập khẩu;Hoa Kỳ;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;229;229;229;2144,007;2109,256;2144,007
10681;20220101;2022;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;17095;17095;1929;248048,764;232369,923;248048,764
10682;20220101;2022;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;355;355;8;4854,554;4537,587;4854,554
10684;20220101;2022;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;16350;16350;1905;236734,809;221793,102;236734,809
10687;20220101;2022;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;941470;941470;5465483,011;201120841,7;200938688,5;201120841,7
10688;20220101;2022;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;684;684;40;18878,003;18042,935;18878,003
10690;20220101;2022;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;940777;940777;5465440,011;201101687,8;200920401,3;201101687,8
10706;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Thái Lan;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;846;846;1129,8;40122,037;0;40122,037
10707;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Vương quốc Anh;Máy in, máy photocopy, máy fax và phụ tùng;kg;44,1;44,1;44,1;5951,22;0;5951,22
10708;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;200715;200715;130406,9;60302195,08;0;60302195,08
10709;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;4955;4955;5277,4;1466004,062;0;1466004,062
10712;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;195353;195353;124099,5;58788884,14;0;58788884,14
10726;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Brunei;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;2791,619;0;1616;791117,526;0;791117,526
10729;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Châu Âu khác (chưa xác định);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;891,858;0;1157,5;326503,762;0;326503,762
10736;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;176741;176741;94008,74;16376010,95;0;16376010,95
10737;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;29827;29827;7736,24;1135470,704;0;1135470,704
10738;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Hàn Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;7533;7533;9430;1776610,327;0;1776610,327
10739;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;139381;139381;76842,5;13463929,92;0;13463929,92
10741;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;918,069;0;61,8;3396,145;0;3396,145
10753;20220101;2022;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;200718;200718;130415,9;60305122,37;0;60305122,37
10809;20220101;2022;52;Xuất khẩu trong nước;Úc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;29,564;0;82;0;9141,106;9141,106
10810;20220101;2022;52;Xuất khẩu trong nước;Bahrain;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;0,152;0;3;0;86,993;86,993
10811;20220101;2022;52;Xuất khẩu trong nước;Canada;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;0,094;0;0,166;0;53,601;53,601
10813;20220101;2022;52;Xuất khẩu trong nước;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;103,107;0;248;0;30220,62;30220,62
10816;20220101;2022;52;Xuất khẩu trong nước;Đức;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;8,154;0;22;0;3092,743;3092,743
10817;20220101;2022;52;Xuất khẩu trong nước;Hồng Kông (Trung Quốc);Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;113,083;0;424;0;81173,887;81173,887
10820;20220101;2022;52;Xuất khẩu trong nước;Nhật Bản;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;96,463;0;223;0;27839,571;27839,571
10821;20220101;2022;52;Xuất khẩu trong nước;Hàn Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;11,658;0;44;0;3348,02;3348,02
10823;20220101;2022;52;Xuất khẩu trong nước;Châu Á khác (chưa xác định);Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;25,622;0;100;0;7284,193;7284,193
10829;20220101;2022;52;Xuất khẩu trong nước;Singapore;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;29,043;0;59;0;11623,383;11623,383
10905;20220101;2022;52;Xuất khẩu trong nước;Úc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;0,12;0;6;0;30,008;30,008
10906;20220101;2022;52;Xuất khẩu trong nước;Hồng Kông (Trung Quốc);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;156,458;0;142;0;29342,347;29342,347
10908;20220101;2022;52;Xuất khẩu trong nước;Singapore;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;24,525;0;38;0;6063,106;6063,106
10910;20220101;2022;52;Xuất khẩu trong nước;Các Tiểu vương quốc Ả Rập Thống nhất;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;21,628;0;13;0;4549,596;4549,596
10913;20220101;2022;52;Xuất khẩu trong nước;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;43834,715;0;12481,294;0;5933041,38;5933041,38
10916;20220101;2022;52;Xuất khẩu trong nước;Singapore;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;2295;2295;3781;0;2481542,622;2481542,622
10917;20220101;2022;52;Xuất khẩu trong nước;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;41536,715;0;8682,294;0;3439761,844;3439761,844
10920;20220101;2022;52;Xuất khẩu trong nước;Hồng Kông (Trung Quốc);Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;76,669;0;97;0;4617,878;4617,878
10921;20220101;2022;52;Xuất khẩu trong nước;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;240123,248;0;2649055;0;63052763,83;63052763,83
10949;20220101;2022;52;Xuất khẩu trong nước;Luxembourg;Mạch tích hợp điện tử;kg;0,017;0;0,017;0;9,102;9,102
10952;20220101;2022;52;Xuất khẩu trong nước;Mexico;Mạch tích hợp điện tử;chiếc/đơn vị;148000;148000;152;0;72327,598;72327,598
10978;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Đức;Máy in, máy photocopy, máy fax và phụ tùng;kg;14444;14444;14444;21506,132;0;21506,132
10979;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Indonesia;Máy in, máy photocopy, máy fax và phụ tùng;kg;204;204;204;3772,167;0;3772,167
10994;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Nhật Bản;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;8,084;0;33;1189,914;0;1189,914
11002;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;126934,773;0;148531,57;60337177,5;0;60337177,5
11062;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Ấn Độ;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;9379,933;0;3336;2748680,115;0;2748680,115
11084;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;669483,416;0;9186636;235303468,2;0;235303468,2
11091;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Nhật Bản;Mạch tích hợp điện tử;chiếc/đơn vị;58710;58710;36,05;16911,574;0;16911,574
11092;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Malaysia;Mạch tích hợp điện tử;chiếc/đơn vị;43037;43037;22;26823,207;0;26823,207
11093;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Châu Á khác (chưa xác định);Mạch tích hợp điện tử;chiếc/đơn vị;144085;144085;148;461476,982;0;461476,982
11094;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Philippines;Mạch tích hợp điện tử;chiếc/đơn vị;655500;655500;85;119336,791;0;119336,791
11111;20220101;2022;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;194893;194893;129642,874;69780842,73;0;69780842,73
11112;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;13117;13117;11000;3833995,983;0;3833995,983
11114;20220101;2022;52;Nhập khẩu;Hàn Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1475;1475;1000;419803,676;0;419803,676
11115;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;180290;180290;117632,774;65524966,79;0;65524966,79
11194;20220101;2022;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;40538,156;0;8000;10677804,38;0;10677804,38
11197;20220101;2022;52;Nhập khẩu;Malaysia;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;32,373;0;32,373;5339,001;0;5339,001
11216;20220101;2022;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;21745;21745;7077,602;5536544,099;0;5536544,099
11217;20220101;2022;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;21744;21744;7000,8;5508959,26;0;5508959,26
11445;20220101;2022;52;Xuất khẩu trong nước;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1797;1797;14563;0;3363164,457;3363164,457
11451;20220101;2022;52;Xuất khẩu trong nước;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;666;666;4696;0;999767,621;999767,621
11453;20220101;2022;52;Xuất khẩu trong nước;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;138;138;938;0;126806,93;126806,93
11463;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;842654;842654;511106;175374574,5;0;175374574,5
11464;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;58396;58396;14123;1917709,75;0;1917709,75
11469;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;783745;783745;496696;173376581,1;0;173376581,1
11508;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;27824,564;0;14307;6931040,354;0;6931040,354
11517;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;214424;214424;118333;17022248,85;0;17022248,85
11523;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;203203;203203;111604;16021681,65;0;16021681,65
11524;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Hoa Kỳ;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;378;378;180;740709,308;0;740709,308
11525;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;270032;270032;204009;18598333,81;0;18598333,81
11526;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;97108;97108;74249;6105819,948;0;6105819,948
11527;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Hồng Kông (Trung Quốc);Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;4135;4135;121;10227,271;0;10227,271
11528;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;168788;168788;129638;12461590,35;0;12461590,35
11540;20220101;2022;52;Nhập khẩu (hàng nước ngoài);Thái Lan;Mạch tích hợp điện tử;chiếc/đơn vị;3633,357;0;19;8802,68;0;8802,68
11552;20220101;2022;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;131506;131506;100799;37373844;35224447,75;37373844
11554;20220101;2022;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;131301;131301;100653;37333065;35186996,75;37333065
11556;20220101;2022;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;842659;842659;511147;175398127,3;0;175398127,3
11634;20220101;2022;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;52,45;52,45;52,45;21499,74;0;21499,74
11655;20220101;2022;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;10193506;10193506;22000;21105799;20545039;21105799
11657;20220101;2022;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;3887;3887;47;21484;20404;21484
11659;20220101;2022;52;Nhập khẩu;Hàn Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;568;568;45;5553;5020;5553
11660;20220101;2022;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;10189000;10189000;21902;21077350;20518304;21077350
11663;20220101;2022;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;214435;214435;118465;17050069,27;0;17050069,27
11672;20220101;2022;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;38251;38251;367251;12800666;12311912;12800666
11673;20220101;2022;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;1825;1825;7771;232980;224130;232980
11674;20220101;2022;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;36425;36425;359479;12567566;12087669;12567566
11687;20220101;2022;52;Nhập khẩu;Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;34628444,77;0;12430;67359277;67074141;67359277
11710;20220101;2022;52;Xuất khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1801;1801;14564;0;3364361,993;3364361,993
11720;20220101;2022;52;Xuất khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;3,2;3,2;3,2;0;1460;1460
11724;20220101;2022;52;Xuất khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;238338;238338;637;0;1146530;1146530
11728;20220101;2022;52;Xuất khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;821;821;30290;0;439012;439012
11740;20230101;2023;52;Nhập khẩu (hàng nước ngoài);Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;110076;110076;69774,284;40547027,67;0;40547027,67
11744;20230101;2023;52;Nhập khẩu (hàng nước ngoài);Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;1617450;356611,6;494205076,1;0;494205076,1
11748;20230101;2023;52;Nhập khẩu (hàng nước ngoài);Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;396164;396164;5324915,5;185184491,4;0;185184491,4
11750;20230101;2023;52;Nhập khẩu (hàng nước ngoài);Thế giới;Mạch tích hợp điện tử;chiếc/đơn vị;1026;1026;1,061;5582,91;0;5582,91
11753;20230101;2023;52;Nhập khẩu;Trung Quốc;Máy in, máy photocopy, máy fax và phụ tùng;kg;153,6;153,6;153,6;7569,6;6482,4;7569,6
11762;20230101;2023;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;7253;7253;4286,32;2580352,3;0;2580352,3
11764;20230101;2023;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;312194;312194;11167,43;16318895,2;15867379,31;16318895,2
11766;20230101;2023;52;Nhập khẩu;Nhật Bản;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;146200;146200;2620,91;1483147,97;1457773,72;1483147,97
11767;20230101;2023;52;Nhập khẩu;Hàn Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;32550;32550;51,19;54586,63;52960,67;54586,63
11769;20230101;2023;52;Nhập khẩu;Châu Á khác (chưa xác định);Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;9200;9200;416,12;293888,98;290202,85;293888,98
11770;20230101;2023;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;120921;120921;7556,69;14315722,35;13906622,23;14315722,35
11771;20230101;2023;52;Nhập khẩu;Thái Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;642;642;276,29;34436,08;29029,96;34436,08
11820;20230101;2023;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;299760;299760;44784,9;68866148,81;0;68866148,81
11828;20230101;2023;52;Nhập khẩu;Ấn Độ;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;1170;1170;329,38;6060,17;5757,16;6060,17
11829;20230101;2023;52;Nhập khẩu;Singapore;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;3689;3689;150,52;17399,64;16529,66;17399,64
11831;20230101;2023;52;Nhập khẩu;Ai Cập;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;2206;2206;1321,6;11546,85;10969,52;11546,85
11833;20230101;2023;52;Nhập khẩu;Khu vực khác (chưa xác định);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;27000;27000;77,14;2238,19;2113,89;2238,19
11836;20230101;2023;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;0,969;0;0,5;166,986;0;166,986
11838;20230101;2023;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;564478;564478;59892,19;6520043,65;6405175,3;6520043,65
11839;20230101;2023;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;229160;229160;651,14;529552,27;513107,81;529552,27
11840;20230101;2023;52;Nhập khẩu;Hàn Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;37083;37083;192,95;175934,02;170680,96;175934,02
11841;20230101;2023;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;298235;298235;59048,1;5814557,36;5721386,53;5814557,36
